region,state
Andaman and Nicobar Islands,an
Andhra Pradesh,ap
Arunachal Pradesh,ar
Assam,as
Bihar,br
Chandigarh,ch
Chhattisgarh,ct
Dadra and Nagar Haveli and Daman and Diu,dn
Delhi,dl
General,gg
Goa,ga
Gujarat,gj
Haryana,hr
Himachal Pradesh,hp
Jammu and Kashmir,jk
Jharkhand,jh
Karnataka,ka
Kerala,kl
Ladakh,la
Madhya Pradesh,mp
Maharashtra,mh
Manipur,mn
Meghalaya,ml
Mizoram,mz
Nagaland,nl
Odisha,or
Puducherry,py
Punjab,pb
Rajasthan,rj
Sikkim,sk
Tamil Nadu,tn
Telangana,tg
Tripura,tr
Uttar Pradesh,up
Uttarakhand,ut
West Bengal,wb